"Location","xstd","ystd","x","y","row","col","dot"
"C",-4200,3600,451558.57468381,4551035.42148828,9,82,89884.5861727919
"A",-4000,-2800,451758.57468381,4544635.42148828,11,18,81351.0058708581
"B",-3700,200,452058.57468381,4547635.42148828,14,48,70068.6834673426
"D",-1400,500,454358.57468381,4547935.42148828,37,51,55512.0097786543
"E",-800,-1700,454958.57468381,4545735.42148828,43,29,58615.6791031236
"F",-400,-4500,455358.57468381,4542935.42148828,47,1,75842.6018405971
"G",-200,5500,455558.57468381,4552935.42148828,49,101,84901.974651602
"H",700,1600,456458.57468381,4549035.42148828,58,62,53738.5562294103
"I",1400,-1000,457158.57468381,4546435.42148828,65,36,54737.6947904484
"J",3100,-800,458858.57468381,4546635.42148828,82,38,61116.5888992317
"K",3200,2700,458958.57468381,4550135.42148828,83,73,65445.2490058998
"L",5900,-3900,461658.57468381,4543535.42148828,110,7,98078.2615717362
